SITE,DEPLOYMENT,NIGHT,SPECIES,COUNT,MLE
001-00015,001-000151,2016-07-08,PESU,6.0,0.0051334
001-00015,001-000151,2016-07-09,EPFU,13.0,0.0
001-00015,001-000151,2016-07-09,LABO,13.0,0.0
001-00015,001-000151,2016-07-09,LACI,5.0,0.009837
001-00015,001-000151,2016-07-09,LANO,1.0,1.0
001-00015,001-000151,2016-07-09,MYLU,2.0,1.0
001-00015,001-000151,2016-07-09,MYSE,2.0,0.0066788
001-00015,001-000151,2016-07-09,NYHU,15.0,0.0072263
001-00015,001-000151,2016-07-09,PESU,27.0,0.0
001-00015,001-000151,2016-07-10,EPFU,2.0,0.197916
001-00015,001-000151,2016-07-10,LABO,0.0,1.0
001-00015,001-000151,2016-07-10,LACI,3.0,0.0092188
001-00015,001-000151,2016-07-10,LANO,2.0,0.6174409
001-00015,001-000151,2016-07-10,MYLU,0.0,1.0
001-00015,001-000151,2016-07-10,MYSE,0.0,1.0
001-00015,001-000151,2016-07-10,NYHU,1.0,0.4491101
001-00015,001-000151,2016-07-10,PESU,5.0,4e-7
001-00015,001-000152,2016-07-01,EPFU,1.0,0.1271696
001-00015,001-000152,2016-07-01,LABO,0.0,1.0
001-00015,001-000152,2016-07-01,LACI,0.0,1.0
001-00015,001-000152,2016-07-01,LANO,0.0,1.0
001-00015,001-000152,2016-07-01,MYLU,0.0,1.0
001-00015,001-000152,2016-07-01,MYSE,0.0,1.0
001-00015,001-000152,2016-07-01,NYHU,0.0,1.0
001-00015,001-000152,2016-07-01,PESU,1.0,0.042231200000000003
001-00015,001-000152,2016-07-02,EPFU,0.0,1.0
001-00015,001-000152,2016-07-02,LABO,0.0,1.0
001-00015,001-000152,2016-07-02,LACI,0.0,1.0
001-00015,001-000152,2016-07-02,LANO,0.0,1.0
001-00015,001-000152,2016-07-02,MYLU,0.0,1.0
001-00015,001-000152,2016-07-02,MYSE,0.0,1.0
001-00015,001-000152,2016-07-02,NYHU,0.0,1.0
001-00015,001-000152,2016-07-02,PESU,0.0,1.0
001-00015,001-000152,2016-07-03,EPFU,1.0,0.1967707
001-00015,001-000152,2016-07-03,LABO,0.0,1.0
001-00015,001-000152,2016-07-03,LACI,1.0,0.1960507
001-00015,001-000152,2016-07-03,LANO,0.0,1.0
001-00015,001-000152,2016-07-03,MYLU,0.0,1.0
001-00015,001-000152,2016-07-03,MYSE,0.0,1.0
001-00015,001-000152,2016-07-03,NYHU,0.0,1.0
001-00015,001-000152,2016-07-03,PESU,0.0,1.0
001-00015,001-000152,2016-07-04,EPFU,4.0,2.622e-4
001-00015,001-000152,2016-07-04,LABO,0.0,1.0
001-00015,001-000152,2016-07-04,LACI,0.0,1.0
001-00015,001-000152,2016-07-04,LANO,0.0,1.0
001-00015,001-000152,2016-07-04,MYLU,0.0,1.0
001-00015,001-000152,2016-07-04,MYSE,1.0,0.0219922
001-00015,001-000152,2016-07-04,NYHU,0.0,1.0
001-00015,001-000152,2016-07-04,PESU,0.0,1.0
001-00015,001-000152,2016-07-05,EPFU,2.0,0.0934246
001-00015,001-000152,2016-07-05,LABO,0.0,1.0
001-00015,001-000152,2016-07-05,LACI,2.0,0.0517566
001-00015,001-000152,2016-07-05,LANO,1.0,0.9485551
001-00015,001-000152,2016-07-05,MYLU,0.0,1.0
001-00015,001-000152,2016-07-05,MYSE,0.0,1.0
001-00015,001-000152,2016-07-05,NYHU,3.0,0.0102064
001-00015,001-000152,2016-07-05,PESU,0.0,1.0
001-00015,001-000152,2016-07-06,EPFU,0.0,1.0
001-00015,001-000152,2016-07-06,LABO,0.0,1.0
001-00015,001-000152,2016-07-06,LACI,1.0,0.178423
001-00015,001-000152,2016-07-06,LANO,1.0,0.47902
001-00015,001-000152,2016-07-06,MYLU,0.0,1.0
001-00015,001-000152,2016-07-06,MYSE,4.0,3e-7
001-00015,001-000152,2016-07-06,NYHU,1.0,0.2158685
001-00015,001-000152,2016-07-06,PESU,0.0,1.0
001-00015,001-000152,2016-07-07,EPFU,0.0,1.0
