can_depnum,can_story,can_loc,can_closure
026782,Canopy,Q3,4
026782,Canopy,Q4,5
026781,Midstory,Mic,1
026781,Midstory,Q1,5
026781,Midstory,Q2,4
026781,Midstory,Q3,5
026781,Midstory,Q4,4
026781,Canopy,Mic,1
026781,Canopy,Q1,3
026781,Canopy,Q2,3
026781,Canopy,Q3,5
026781,Canopy,Q4,4
026111,Midstory,Mic,1
026111,Midstory,Q1,5
026111,Midstory,Q2,5
026111,Midstory,Q3,5
026111,Midstory,Q4,5
026111,Canopy,Mic,2
026111,Canopy,Q1,2
026111,Canopy,Q2,5
026111,Canopy,Q3,3
026111,Canopy,Q4,2
026112,Midstory,Mic,1
026112,Midstory,Q1,1
026112,Midstory,Q2,5
026112,Midstory,Q3,2
026112,Midstory,Q4,1
026112,Canopy,Mic,1
026112,Canopy,Q1,1
026112,Canopy,Q2,5
026112,Canopy,Q3,1
026112,Canopy,Q4,1
027571,Midstory,Mic,1
027571,Midstory,Q1,1
027571,Midstory,Q2,1
027571,Midstory,Q3,1
027571,Midstory,Q4,1
027571,Canopy,Mic,1
027571,Canopy,Q1,1
027571,Canopy,Q2,1
027571,Canopy,Q3,1
027571,Canopy,Q4,1
027572,Midstory,Mic,1
027572,Midstory,Q1,1
027572,Midstory,Q2,1
027572,Midstory,Q3,1
027572,Midstory,Q4,1
027572,Canopy,Mic,1
027572,Canopy,Q1,1
027572,Canopy,Q2,1
027572,Canopy,Q3,1
027572,Canopy,Q4,1
027091,Midstory,Mic,1
027091,Midstory,Q1,4
027091,Midstory,Q2,2
027091,Midstory,Q3,2
027091,Midstory,Q4,2
027091,Canopy,Mic,2
027091,Canopy,Q1,5
027091,Canopy,Q2,5
027091,Canopy,Q3,5
027091,Canopy,Q4,5
027092,Midstory,Mic,2
027092,Midstory,Q1,3
027092,Midstory,Q2,5
027092,Midstory,Q3,2
027092,Midstory,Q4,2
027092,Canopy,Mic,5
027092,Canopy,Q1,1
027092,Canopy,Q2,5
027092,Canopy,Q3,4
027092,Canopy,Q4,5
027391,Midstory,Mic,2
027391,Midstory,Q1,3
027391,Midstory,Q2,1
027391,Midstory,Q3,4
027391,Midstory,Q4,2
